Datacenter,MSF,Item Name,Item Type,Item Group,Dimension Group,Current Location,OnHand Quantity,Quantity To Move,New Location,Notes,Operation Result
ZRH24,MSF-021433,PATCHCORDS-CommScope-NWCBL-MULTI-MFG-CAT6-COPPER-2FT-LSZH-RJ45-M1048428-001-MSF-021433,Item,PatchCords,Allocated,CBLS.01-001.01.02,38,,,,
ZRH24,MSF-021435,PATCHCORDS-CommScope-NWCBL-MULTI-MFG-CAT6-COPPER-4FT-LSZH-RJ45-M1048430-001-MSF-021435,Item,PatchCords,Allocated,CBLS.01-001.01.03,33,,,,
